customer_id,dob,primary_state,fico8,vantage4,tradelines_total,tradelines_open,revolving_limit_sum,revolving_balance_sum,revolving_utilization,total_balance_sum,delinq_24mo_count,worst_delinq_24mo,inquiries_12mo_hard,inquiries_12mo_soft,has_collection,collection_balance_total,has_bankruptcy,months_since_oldest_account,avg_account_age_months,avg_tx_amount,total_tx_amount,n_daily_tx,avg_daily_spend,total_spend,last_tx_date,n_fraud_tx,total_tx,fraud_rate,monthly_salary,gender,age,experience_years,utilization_ratio,fraud_flag,thin_file_flag,ym,good,open_ratio,rev_limit_per_line,rev_share_total_bal,util_clip,balance_to_income,revolving_to_income,limit_to_income,any_delinq_24m,worst_delinq_1plus,hard_inq_3plus,inq_per_open_line,experienced_worker,recency_days,tx_frequency,avg_ticket,spend_to_income,daily_spend_to_income,util_x_thin,inq_x_thin,seasoned_x_util,income_x_util,log1p_revolving_limit_sum,log1p_revolving_balance_sum,log1p_total_balance_sum,log1p_total_tx_amount,log1p_total_spend,log1p_monthly_salary,last_tx_ts,last_amount,zscore_last_amount_90d,ratio_last_amount_to_p50_90d,burst_flag,consecutive_declines,rt_utilization,rt_util_clip,thin_x_inactivity,cf_expense_entropy_30d,beh_cash_intensity_30d,beh_seasonality_index_12m,beh_holiday_spike_flag,income,utilization,dti,delinq_12m,inquiries_6m,tradelines,thin_file,high_util
1,1972-01-24,NJ,572,663,4,2.5,48500,20848.4875,0.6686,344960.88,18.5,3.0,1.0,0.0,0,0,0,144.0,98.2,35.47,35.47,238.0,236.44625,53705.59,2022-07-03 19:24:00,0.0,1322,0.0,5050,Female,53,5,0.668607833,0,0,2022-07-01,0,0.75,2500.0,0.1162928098,0.668607833,16.56077196,1.925898704,2.880460874,1,1,0,0.3333333333,1,545,238.0,35.47,9.574367739,1.206855497,0.0,0,0.668607833,4073.358225,11.00211651,10.59956718,12.7511892,3.596490005,11.02688793,8.634298168,2025-11-03 05:37:35.641484,35.47,0,1,0,0,0.6686078333,0.6686078333,0.0,1.115727281,0,0.1972919904,1,5050,0.6686,16.56077196,18.5,1.0,4,0,0.668607833
10,1978-06-04,TX,649,505,2,1.0,30000,10484.9,0.3495,129079.22,3.0,1.0,0.0,2.0,0,0,0,83.0,74.5,142.85,142.85,231.0,236.44625,53705.59,2022-11-11 21:25:00,10.0,1244,0.008038585,5050,Female,47,15,0.349496667,1,1,2022-11-01,0,0.5,2500.0,0.08122841151,0.349496667,2.382854347,0.1935554735,0.5538120731,1,1,0,0.0,1,414,231.0,142.85,3.787009599,0.4918183496,0.349496667,0,0.349496667,4073.358225,10.30898599,9.257786777,11.76818935,4.96877109,11.02688793,8.634298168,2025-11-03 05:38:35.641484,142.85,0,1,0,0,0.3494966667,0.3494966667,19.3918774,1.194786392,0,0.1441017327,0,5050,0.3495,2.382854347,3.0,0.0,2,1,0.349496667
100,1981-09-16,NJ,640,593,2,0.0,1000,813.45,0.0,407623.94,7.0,2.0,1.0,2.0,0,0,0,75.0,63.5,94.93,94.93,242.0,169.12,40928.07,2022-12-03 17:36:00,10.0,1008,0.009920635,3700,Male,44,0,0.81345,1,1,2022-12-01,0,0.0,0.0,0.001995589366,0.81345,110.1686324,0.2198513514,0.2702702703,1,1,0,0.0,0,392,242.0,94.93,11.06164054,1.371243243,0.5846375,1,0.81345,3009.765,6.908754779,6.702513039,12.91810277,4.563618759,10.61959585,8.216358332,2025-11-03 05:37:35.641484,94.93,0,1,0,0,0.81345,0.81345,20.3918774,1.21850103,0,0.1580596049,0,3700,0.0,110.1686324,7.0,1.0,2,1,0.81345
1000,1966-07-26,VA,693,773,4,2.0,30000,6739.13,0.2246,59645.98,11.0,3.0,0.0,1.0,0,0,0,155.0,94.2,283.46,283.46,238.0,112.79,26843.09,2022-12-08 04:59:00,0.0,0,0.0,3100,Male,59,0,0.224637667,0,0,2022-12-01,1,0.5,2500.0,0.1129854854,0.224637667,19.24063871,2.173912903,9.677419355,1,1,0,0.0,0,388,238.0,283.46,8.65906129,1.091516129,0.0,0,0.224637667,696.3767677,10.30898599,8.815834492,10.9961988,5.650592646,10.19780096,8.039479919,2025-11-03 05:39:35.641484,283.46,0,1,0,0,0.2246376667,0.2246376667,0.0,1.334404394,0,0.1172217036,1,3100,0.2246,19.24063871,11.0,0.0,4,0,0.224637667
1001,1995-09-26,CO,769,652,2,1.0,20000,17631.52,0.8816,296765.19,6.0,3.0,0.0,0.0,0,0,0,143.0,72.0,30.21,30.21,233.0,133.44,31092.11,2023-03-09 00:35:00,0.0,0,0.0,4200,Male,30,0,0.881576,0,1,2023-03-01,1,0.5,2500.0,0.05941235898,0.881576,70.65837857,4.197980952,4.761904762,1,1,0,0.0,0,297,233.0,30.21,7.402883333,0.9531428571,0.5846375,0,0.881576,3702.6192,9.903537551,9.777500203,12.60069987,3.440738556,10.34474153,8.343077871,2025-11-03 05:36:35.641484,30.21,0,1,0,0,0.881576,0.881576,21.3918774,1.15419159,0,0.1681198761,1,4200,0.8816,70.65837857,6.0,0.0,2,1,0.881576
1002,1987-10-17,NC,723,550,3,1.0,1000,292.04,0.0,205167.87,7.0,3.0,1.0,1.0,0,0,0,110.0,53.3,302.99,302.99,203.0,193.35,39250.99,2022-01-03 01:39:00,0.0,0,0.0,3200,Female,38,0,0.29204,0,0,2022-01-01,1,0.3333333333,1000.0,0.001423419759,0.29204,64.11495938,0.0912625,0.3125,1,1,0,1.0,0,727,203.0,302.99,12.26593438,1.81265625,0.0,0,0.29204,934.528,6.908754779,5.680309118,12.23158868,5.716994806,10.57775742,8.07121854,2025-11-03 05:36:35.641484,302.99,0,1,0,0,0.29204,0.29204,0.0,1.231358902,0,0.1776549876,1,3200,0.0,64.11495938,7.0,1.0,3,0,0.29204
1003,1989-05-06,CA,710,556,4,0.0,5000,3334.75,0.667,307466.82,15.0,3.0,1.0,0.0,0,0,0,186.0,103.0,94.27,94.27,242.0,132.57,32082.33,2023-02-23 08:33:00,0.0,0,0.0,2900,Male,36,0,0.66695,0,0,2023-02-01,1,0.0,0.0,0.01084588574,0.66695,106.0230414,1.149913793,1.724137931,1,1,0,0.0,0,311,242.0,94.27,11.06287241,1.371413793,0.0,0,0.66695,1934.155,8.517393171,8.112452821,12.63612571,4.556714966,10.37609186,7.972810784,2025-11-03 05:38:35.641484,94.27,0,1,0,0,0.66695,0.66695,0.0,1.225498676,0,0.1085682127,1,2900,0.667,106.0230414,15.0,1.0,4,0,0.66695
1004,1985-10-08,CA,525,678,3,0.0,10000,6478.85,0.6479,331035.5,9.0,3.0,2.0,1.0,1,1016,0,101.0,52.0,515.01,515.01,232.0,180.42,41858.12,2022-06-14 13:03:00,0.0,0,0.0,2600,Female,40,0,0.647885,0,0,2022-06-01,0,0.0,0.0,0.0195714659,0.647885,127.3213462,2.491865385,3.846153846,1,1,0,0.0,0,564,232.0,515.01,16.09927692,2.081769231,0.0,0,0.647885,1684.501,9.210440367,8.776452641,12.70998392,6.246126145,10.64206497,7.863651265,2025-11-03 05:39:35.641484,515.01,0,1,0,0,0.647885,0.647885,0.0,1.368347019,0,0.1686751416,1,2600,0.6479,127.3213462,9.0,2.0,3,0,0.647885
1005,1982-01-26,CO,682,756,2,0.0,30000,4974.46,0.1658,11567.96,4.0,3.0,0.0,0.0,0,0,0,149.0,109.0,266.55,266.55,230.0,140.7,32360.83,2022-05-30 05:10:00,0.0,0,0.0,2600,Male,43,0,0.165815333,0,1,2022-05-01,1,0.0,0.0,0.4300205049,0.165815333,4.449215385,1.913253846,11.53846154,1,1,0,0.0,0,580,230.0,266.55,12.44647308,1.623461538,0.165815333,0,0.165815333,431.1198658,10.30898599,8.512273108,9.356080929,5.589306465,10.38473492,7.863651265,2025-11-03 05:39:35.641484,266.55,0,1,0,0,0.1658153333,0.1658153333,18.3918774,1.347572223,0,0.1690241373,1,2600,0.1658,4.449215385,4.0,0.0,2,1,0.165815333
1006,1998-06-25,MO,706,525,2,0.0,20000,11851.09,0.5926,68989.83,7.0,3.0,0.0,2.0,0,0,0,184.0,107.5,414.46,414.46,211.0,186.46,39343.44,2022-11-03 07:02:00,0.0,0,0.0,3400,Male,27,0,0.5925545,0,1,2022-11-01,1,0.0,0.0,0.1717802465,0.5925545,20.29112647,3.485614706,5.882352941,1,1,0,0.0,0,423,211.0,414.46,11.5716,1.645235294,0.5846375,0,0.5925545,2014.6853,9.903537551,9.380259502,11.14172888,6.02938634,10.58010995,8.131824785,2025-11-03 05:36:35.641484,414.46,0,1,0,0,0.5925545,0.5925545,21.3918774,1.310402792,0,0.1867347827,0,3400,0.5926,20.29112647,7.0,0.0,2,1,0.5925545
