application_id,application_date,default_probability,credit_score,scoring_timestamp,risk_band
APP00000001,2023-01-01 01:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000002,2023-01-01 01:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000003,2023-01-01 01:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000004,2023-01-01 01:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000005,2023-01-01 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000006,2023-01-01 02:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000007,2023-01-01 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000008,2023-01-01 03:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000009,2023-01-01 03:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000010,2023-01-01 04:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000011,2023-01-01 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000012,2023-01-01 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000013,2023-01-01 09:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000014,2023-01-01 11:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000015,2023-01-01 12:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000016,2023-01-01 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000017,2023-01-01 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000018,2023-01-01 15:00:00,0.25,519,2026-02-19T02:41:28.213149,High
APP00000019,2023-01-01 15:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000020,2023-01-01 16:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000021,2023-01-01 16:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000022,2023-01-01 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000023,2023-01-01 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000024,2023-01-01 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000025,2023-01-01 18:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000026,2023-01-01 18:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000027,2023-01-01 19:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000028,2023-01-01 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000029,2023-01-02 00:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000030,2023-01-02 00:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000031,2023-01-02 01:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000032,2023-01-02 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000033,2023-01-02 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000034,2023-01-02 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000035,2023-01-02 04:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000036,2023-01-02 04:00:00,0.3275862068965517,508,2026-02-19T02:41:28.213149,High
APP00000037,2023-01-02 04:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000038,2023-01-02 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000039,2023-01-02 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000040,2023-01-02 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000041,2023-01-02 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000042,2023-01-02 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000043,2023-01-02 09:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000044,2023-01-02 11:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000045,2023-01-02 13:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000046,2023-01-02 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000047,2023-01-02 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000048,2023-01-02 14:00:00,0.5909090909090909,477,2026-02-19T02:41:28.213149,Very High
APP00000049,2023-01-02 15:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000050,2023-01-02 15:00:00,1.0,-177,2026-02-19T02:41:28.213149,Very High
APP00000051,2023-01-02 16:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000052,2023-01-02 20:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000053,2023-01-02 23:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000054,2023-01-02 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000055,2023-01-02 23:00:00,0.5454545454545454,482,2026-02-19T02:41:28.213149,Very High
APP00000056,2023-01-02 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000057,2023-01-03 00:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000058,2023-01-03 01:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000059,2023-01-03 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000060,2023-01-03 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000061,2023-01-03 02:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000062,2023-01-03 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000063,2023-01-03 04:00:00,0.75,455,2026-02-19T02:41:28.213149,Very High
APP00000064,2023-01-03 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000065,2023-01-03 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000066,2023-01-03 06:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000067,2023-01-03 06:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000068,2023-01-03 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000069,2023-01-03 11:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000070,2023-01-03 11:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000071,2023-01-03 11:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000072,2023-01-03 12:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000073,2023-01-03 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000074,2023-01-03 15:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000075,2023-01-03 15:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000076,2023-01-03 15:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000077,2023-01-03 16:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000078,2023-01-03 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000079,2023-01-03 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000080,2023-01-03 21:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000081,2023-01-03 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000082,2023-01-03 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000083,2023-01-03 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000084,2023-01-04 00:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000085,2023-01-04 00:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000086,2023-01-04 01:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000087,2023-01-04 01:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000088,2023-01-04 01:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000089,2023-01-04 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000090,2023-01-04 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000091,2023-01-04 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000092,2023-01-04 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000093,2023-01-04 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000094,2023-01-04 11:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000095,2023-01-04 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000096,2023-01-04 15:00:00,0.5909090909090909,477,2026-02-19T02:41:28.213149,Very High
APP00000097,2023-01-04 15:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000098,2023-01-04 15:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000099,2023-01-04 15:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000100,2023-01-04 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000101,2023-01-04 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000102,2023-01-04 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000103,2023-01-04 18:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000104,2023-01-04 19:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000105,2023-01-04 19:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000106,2023-01-04 20:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000107,2023-01-04 22:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000108,2023-01-04 22:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000109,2023-01-05 00:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000110,2023-01-05 00:00:00,1.0,-177,2026-02-19T02:41:28.213149,Very High
APP00000111,2023-01-05 01:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000112,2023-01-05 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000113,2023-01-05 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000114,2023-01-05 02:00:00,0.07317073170731707,560,2026-02-19T02:41:28.213149,Medium
APP00000115,2023-01-05 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000116,2023-01-05 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000117,2023-01-05 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000118,2023-01-05 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000119,2023-01-05 09:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000120,2023-01-05 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000121,2023-01-05 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000122,2023-01-05 11:00:00,0.582108274492434,478,2026-02-19T02:41:28.213149,Very High
APP00000123,2023-01-05 11:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000124,2023-01-05 12:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000125,2023-01-05 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000126,2023-01-05 14:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000127,2023-01-05 16:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000128,2023-01-05 18:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000129,2023-01-05 20:00:00,0.3275862068965517,508,2026-02-19T02:41:28.213149,High
APP00000130,2023-01-05 20:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000131,2023-01-05 21:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000132,2023-01-05 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000133,2023-01-06 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000134,2023-01-06 03:00:00,0.8275862068965517,442,2026-02-19T02:41:28.213149,Very High
APP00000135,2023-01-06 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000136,2023-01-06 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000137,2023-01-06 11:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000138,2023-01-06 11:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000139,2023-01-06 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000140,2023-01-06 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000141,2023-01-06 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000142,2023-01-06 17:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000143,2023-01-06 18:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000144,2023-01-06 19:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000145,2023-01-06 21:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000146,2023-01-06 23:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000147,2023-01-06 23:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000148,2023-01-07 02:00:00,0.4444444444444444,494,2026-02-19T02:41:28.213149,Very High
APP00000149,2023-01-07 02:00:00,0.3275862068965517,508,2026-02-19T02:41:28.213149,High
APP00000150,2023-01-07 03:00:00,0.8695652173913043,432,2026-02-19T02:41:28.213149,Very High
APP00000151,2023-01-07 03:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000152,2023-01-07 06:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000153,2023-01-07 09:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000154,2023-01-07 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000155,2023-01-07 12:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000156,2023-01-07 12:00:00,0.3275862068965517,508,2026-02-19T02:41:28.213149,High
APP00000157,2023-01-07 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000158,2023-01-07 13:00:00,0.25,519,2026-02-19T02:41:28.213149,High
APP00000159,2023-01-07 14:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000160,2023-01-07 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000161,2023-01-07 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000162,2023-01-07 16:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000163,2023-01-07 18:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000164,2023-01-07 18:00:00,0.8275862068965517,442,2026-02-19T02:41:28.213149,Very High
APP00000165,2023-01-07 19:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000166,2023-01-07 20:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000167,2023-01-07 22:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000168,2023-01-07 23:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000169,2023-01-08 02:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000170,2023-01-08 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000171,2023-01-08 02:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000172,2023-01-08 04:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000173,2023-01-08 04:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000174,2023-01-08 04:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000175,2023-01-08 05:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000176,2023-01-08 06:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000177,2023-01-08 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000178,2023-01-08 07:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000179,2023-01-08 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000180,2023-01-08 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000181,2023-01-08 08:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000182,2023-01-08 09:00:00,0.9830508474576272,370,2026-02-19T02:41:28.213149,Very High
APP00000183,2023-01-08 10:00:00,1.0,-177,2026-02-19T02:41:28.213149,Very High
APP00000184,2023-01-08 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000185,2023-01-08 10:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000186,2023-01-08 12:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000187,2023-01-08 12:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000188,2023-01-08 12:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000189,2023-01-08 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000190,2023-01-08 13:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000191,2023-01-08 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000192,2023-01-08 14:00:00,0.8275862068965517,442,2026-02-19T02:41:28.213149,Very High
APP00000193,2023-01-08 14:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000194,2023-01-08 15:00:00,0.08333333333333333,556,2026-02-19T02:41:28.213149,Medium
APP00000195,2023-01-08 16:00:00,0.7692307692307693,452,2026-02-19T02:41:28.213149,Very High
APP00000196,2023-01-08 18:00:00,0.04081632653061224,578,2026-02-19T02:41:28.213149,Medium
APP00000197,2023-01-08 18:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000198,2023-01-08 19:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000199,2023-01-08 20:00:00,0.0,1152,2026-02-19T02:41:28.213149,Very Low
APP00000200,2023-01-08 21:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
APP00000201,2023-01-08 21:00:00,0.17647058823529413,532,2026-02-19T02:41:28.213149,High
